"","coddepto","codprovincia","codmpio","depto","provincia","municipio","ano","ipm_asisescu_pob","pobl_tot"
"1",5,595,5001,"Antioquia","Valle del aburra","MedellÌn",2005,155102.27,2214494
"2",5,562,5002,"Antioquia","Oriente","Abejorral",2005,3318.8536,20249
"3",5,560,5004,"Antioquia","Occidente","AbriaquÌ",2005,232.2971,2690
"4",5,562,5021,"Antioquia","Oriente","AlejandrÌa",2005,394.38093,3816
"5",5,585,5030,"Antioquia","Suroeste","Amag·",2005,3226.2068,27155
"6",5,556,5031,"Antioquia","Nordeste","Amalfi",2005,3365.1127,20525
"7",5,585,5034,"Antioquia","Suroeste","Andes",2005,5390.1021,41591
"8",5,585,5036,"Antioquia","Suroeste","AngelÛpolis",2005,1098.7246,7641
"9",5,558,5038,"Antioquia","Norte","Angostura",2005,2816.0101,12519
"10",5,556,5040,"Antioquia","Nordeste","AnorÌ",2005,3102.9137,15016
"11",5,560,5042,"Antioquia","Occidente","SantafÈ de Antioquia",2005,2841.9669,22903
"12",5,560,5044,"Antioquia","Occidente","Anza",2005,1224.0638,7415
"13",5,592,5045,"Antioquia","Urab·","ApartadÛ",2005,16560.519,131416
"14",5,592,5051,"Antioquia","Urab·","Arboletes",2005,4637.7433,30738
"15",5,562,5055,"Antioquia","Oriente","Argelia",2005,1283.11,10091
"16",5,560,5059,"Antioquia","Occidente","Armenia",2005,645.10159,5196
"17",5,595,5079,"Antioquia","Valle del aburra","Barbosa",2005,3590.6238,42453
"18",5,558,5086,"Antioquia","Norte","Belmira",2005,848.18607,6188
"19",5,595,5088,"Antioquia","Valle del aburra","Bello",2005,23316.05,371625
"20",5,585,5091,"Antioquia","Suroeste","Betania",2005,1622.283,10246
"21",5,585,5093,"Antioquia","Suroeste","Betulia",2005,3313.2058,16725
"22",5,585,5101,"Antioquia","Suroeste","Ciudad BolÌvar",2005,3846.1391,28279
"23",5,558,5107,"Antioquia","Norte","BriceÒo",2005,2711.977,8783
"24",5,560,5113,"Antioquia","Occidente","Buritic·",2005,1649.7281,6955
"25",5,511,5120,"Antioquia","Bajo cauca","C·ceres",2005,5974.2769,28945
"26",5,585,5125,"Antioquia","Suroeste","Caicedo",2005,1556.4465,7686
"27",5,595,5129,"Antioquia","Valle del aburra","Caldas",2005,3719.401,67994
"28",5,558,5134,"Antioquia","Norte","Campamento",2005,1990.6854,9688
"29",5,560,5138,"Antioquia","Occidente","CaÒasgordas",2005,2425.2035,16816
"30",5,546,5142,"Antioquia","Magdalena medio","CaracolÌ",2005,388.9457,4855
"31",5,585,5145,"Antioquia","Suroeste","Caramanta",2005,547.73532,5510
"32",5,592,5147,"Antioquia","Urab·","Carepa",2005,5837.9736,43125
"33",5,562,5148,"Antioquia","Oriente","El Carmen de Viboral",2005,3595.5302,41012
"34",5,558,5150,"Antioquia","Norte","Carolina",2005,130.43425,3971
"35",5,511,5154,"Antioquia","Bajo cauca","Caucasia",2005,11943.99,87543
"36",5,592,5172,"Antioquia","Urab·","ChigorodÛ",2005,6729.3579,58922
"37",5,556,5190,"Antioquia","Nordeste","Cisneros",2005,635.2031,9682
"38",5,562,5197,"Antioquia","Oriente","Cocorn·",2005,2011.5089,15119
"39",5,562,5206,"Antioquia","Oriente","ConcepciÛn",2005,488.3265,4509
"40",5,585,5209,"Antioquia","Suroeste","Concordia",2005,4115.5938,21420
"41",5,595,5212,"Antioquia","Valle del aburra","Copacabana",2005,2719.4815,61230
"42",5,560,5234,"Antioquia","Occidente","Dabeiba",2005,6902.7104,24084
"43",5,558,5237,"Antioquia","Norte","Don MatÌas",2005,1878.6337,17701
"44",5,560,5240,"Antioquia","Occidente","EbÈjico",2005,1330.7225,12511
"45",5,511,5250,"Antioquia","Bajo cauca","El Bagre",2005,6716.4717,46020
"46",5,558,5264,"Antioquia","Norte","Entrerrios",2005,771.01513,8447
"47",5,595,5266,"Antioquia","Valle del aburra","Envigado",2005,5310.6694,174150
"48",5,585,5282,"Antioquia","Suroeste","Fredonia",2005,2286.2485,22692
"49",5,560,5284,"Antioquia","Occidente","Frontino",2005,3260.3617,20031
"50",5,560,5306,"Antioquia","Occidente","Giraldo",2005,441.92907,4188
"51",5,595,5308,"Antioquia","Valle del aburra","Girardota",2005,2023.8579,42581
"52",5,558,5310,"Antioquia","Norte","GÛmez Plata",2005,1225.6365,11252
"53",5,562,5313,"Antioquia","Oriente","Granada",2005,1300.129,9789
"54",5,558,5315,"Antioquia","Norte","Guadalupe",2005,924.15762,6231
"55",5,562,5318,"Antioquia","Oriente","Guarne",2005,3195.6443,39541
"56",5,562,5321,"Antioquia","Oriente","GuatapÈ",2005,368.11626,5838
"57",5,560,5347,"Antioquia","Occidente","Heliconia",2005,738.6729,6656
"58",5,585,5353,"Antioquia","Suroeste","Hispania",2005,467.62591,4821
"59",5,595,5360,"Antioquia","Valle del aburra","Itagui",2005,11342.382,234973
"60",5,558,5361,"Antioquia","Norte","Ituango",2005,6480.5967,25088
"61",5,585,5364,"Antioquia","Suroeste","JardÌn",2005,1512.7963,14433
"62",5,585,5368,"Antioquia","Suroeste","JericÛ",2005,608.15148,12789
"63",5,562,5376,"Antioquia","Oriente","La Ceja",2005,3434.2793,46268
"64",5,595,5380,"Antioquia","Valle del aburra","La Estrella",2005,2517.867,52571
"65",5,585,5390,"Antioquia","Suroeste","La Pintada",2005,685.47973,7066
"66",5,562,5400,"Antioquia","Oriente","La UniÛn",2005,1526.0066,17842
"67",5,560,5411,"Antioquia","Occidente","Liborina",2005,1248.9774,9475
"68",5,546,5425,"Antioquia","Magdalena medio","Maceo",2005,702.32777,7630
"69",5,562,5440,"Antioquia","Oriente","Marinilla",2005,2883.4344,45548
"70",5,585,5467,"Antioquia","Suroeste","Montebello",2005,997.12174,7523
"71",5,592,5475,"Antioquia","Urab·","MurindÛ",2005,1521.9044,3736
"72",5,592,5480,"Antioquia","Urab·","Mutat·",2005,3818.0216,16428
"73",5,562,5483,"Antioquia","Oriente","NariÒo",2005,2713.4194,15579
"74",5,592,5490,"Antioquia","Urab·","NecoclÌ",2005,10545.803,47989
"75",5,511,5495,"Antioquia","Bajo cauca","NechÌ",2005,3731.0886,20668
"76",5,560,5501,"Antioquia","Occidente","Olaya",2005,273.49047,2916
"77",5,562,5541,"Antioquia","Oriente","PeÒol",2005,1577.7563,16241
"78",5,560,5543,"Antioquia","Occidente","Peque",2005,1937.4096,9621
"79",5,585,5576,"Antioquia","Suroeste","Pueblorrico",2005,908.66659,8294
"80",5,546,5579,"Antioquia","Magdalena medio","Puerto BerrÌo",2005,4988.5471,38953
"81",5,546,5585,"Antioquia","Magdalena medio","Puerto Nare",2005,1917.7778,16690
"82",5,546,5591,"Antioquia","Magdalena medio","Puerto Triunfo",2005,2556.2767,16248
"83",5,556,5604,"Antioquia","Nordeste","Remedios",2005,3571.0217,22769
"84",5,562,5607,"Antioquia","Oriente","Retiro",2005,811.50373,16976
"85",5,562,5615,"Antioquia","Oriente","Rionegro",2005,6256.8337,100513
"86",5,560,5628,"Antioquia","Occidente","Sabanalarga",2005,2191.4538,8193
"87",5,595,5631,"Antioquia","Valle del aburra","Sabaneta",2005,1145.7405,44443
